sta,lat,lon,moho_depth,moho_vp,moho_vs,moho_rho
MANN,62.29,-79.59,41050,8771,5493,2427
JOSN,63.16,-91.54,40862,8207,5311,2319
MARN,71.33,-79.37,44409,8331,5278,2244
QILN,66.65,-86.37,36810,8079,4815,3051
BLKN,64.32,-96.00,38289,8644,4969,2425
RES,74.69,-94.90,30768,8242,4665,3405
CRLN,64.19,-83.35,39398,8343,5756,2388
AP3N,69.46,-84.46,41020,8705,4809,2653
DORN,64.23,-76.53,42662,8126,5233,2376
KUGN,68.09,-90.06,35701,8576,4739,2902
GIFN,69.99,-81.64,42556,8474,4965,2391
CNF,79.66,-80.78,39643,8890,5196,2544
