CRLN, 1.49548592671269
AXF, 1.49548592671269
CTSN, 1.49548592671269
YBKN, 1.49548592671269
CNF, 1.49548592671269
KJKQ, 1.49548592671269
SNKN, 1.49548592671269
POIN, 1.49548592671269
JOSN, 1.49548592671269
MCMN, 1.43639291465378
WAGN, 3.15064613205877
GIFN, 1.49548592671269
KUGN, 1.49548592671269
IGLN, 3.14179500796601
SHMN, 1.49548592671269
MANN, 1.49548592671269
QILN, 1.49548592671269
FCC, 1.49548592671269
IBFB, 1.49548592671269
SMLN, 1.49548592671269
EUNU, 1.55333683657383
SHWN, 1.49548592671269
ARVN, 1.49548592671269
RES, 1.49548592671269
TQF, 1.49548592671269
LAIN, 1.49548592671269
MCF, 1.49548592671269
NOTN, 1.49548592671269
SAKN, 1.49548592671269
AKVQ, 1.49548592671269
DORN, 1.49548592671269
YRTN, 1.49548592671269
SNQN, 1.49548592671269
BULN, 1.49548592671269
NUNN, 1.49548592671269
INUQ, 1.49548592671269
SEDN, 1.49548592671269
AP3N, 4.00035404496371
STLN, 1.49548592671269
MARN, 1.49548592671269
IBFE, 1.55333683657383
ILON, 1.49548592671269
BLKN, 1.49548592671269
SRLN, 1.49548592671269
